100	100	100	100
41	5	40
66	47	2
63	82	79
56	76	15
83	21	36
6	75	27
75	54	94
31	64	61
14	63	72
59	28	26
41	99	24
57	37	45
83	83	10
47	37	65
53	71	48
37	75	38
28	28	31
80	83	83
93	93	32
17	52	25
32	4	56
74	19	67
15	25	22
1	35	87
13	95	99
55	76	19
83	46	42
85	73	16
91	65	3
90	66	36
1	87	29
13	8	75
38	72	22
91	51	66
57	86	24
82	53	53
7	11	70
83	55	22
25	40	81
12	46	13
52	74	59
37	13	45
24	37	5
46	29	94
64	26	46
70	28	88
83	40	83
25	43	40
56	63	87
26	43	27
18	56	6
15	39	94
37	2	39
71	7	52
75	50	65
40	67	50
24	4	56
36	29	68
17	63	91
2	27	94
94	12	61
63	62	56
12	81	35
96	79	14
31	23	73
1	73	26
91	46	1
65	14	21
63	32	19
44	99	72
3	46	45
17	53	85
29	26	78
55	29	96
37	59	43
67	73	87
23	64	40
41	78	5
9	90	19
15	49	88
44	18	12
32	84	78
2	91	5
38	4	53
45	91	7
59	30	11
48	87	14
40	47	47
89	82	77
90	2	50
32	31	73
43	63	78
39	74	7
95	94	64
89	17	28
62	93	80
98	13	86
1	39	67
88	88	97
36	35	96
