60	100	100	100
69	48	93
85	20	69
83	3	92
78	27	78
80	30	80
97	11	82
76	8	70
84	4	69
99	9	68
87	32	74
67	32	71
80	3	97
77	16	67
90	47	97
89	16	80
89	18	71
69	41	88
68	14	93
82	8	93
89	3	97
96	28	69
66	7	73
90	8	70
88	13	78
94	5	76
74	45	68
72	35	71
87	5	76
85	18	77
94	39	80
87	9	92
98	42	76
67	49	97
80	4	97
95	31	82
76	41	86
91	7	94
83	25	88
93	13	84
77	8	78
76	14	72
86	26	97
75	21	67
95	18	68
88	19	88
66	2	70
90	38	92
79	48	68
72	38	79
81	26	77
69	32	88
99	19	88
74	5	91
87	40	78
72	9	73
94	33	78
85	4	91
86	30	72
73	14	94
96	26	70
