100	100	100	100
39	86	93
35	72	88
22	79	77
42	77	92
45	79	91
20	67	96
24	73	91
1	96	95
13	83	99
12	80	66
30	76	78
44	88	84
2	69	74
41	77	75
12	80	77
26	91	91
48	74	82
45	82	78
9	71	84
4	92	89
39	82	91
15	85	68
2	93	73
45	81	70
5	81	90
32	69	68
41	71	67
8	67	93
19	97	84
10	93	79
3	99	71
23	74	76
4	99	81
22	72	79
39	97	76
13	74	67
4	71	67
26	93	87
46	68	68
40	93	67
23	88	94
4	88	91
28	69	83
29	69	85
44	74	67
11	91	87
23	75	76
5	75	73
27	85	97
46	76	83
44	72	84
42	84	95
13	66	94
29	83	76
2	81	71
11	95	83
20	72	73
13	90	99
24	90	94
49	70	81
14	89	86
3	99	90
19	92	69
39	84	78
45	74	87
43	96	93
27	82	95
17	90	86
39	73	91
35	66	68
9	79	82
10	75	86
35	73	68
5	72	75
17	97	86
22	88	92
23	75	76
9	84	79
37	67	95
30	83	94
45	87	83
24	89	86
17	75	88
9	80	93
3	80	87
46	75	67
45	67	73
11	75	96
6	84	66
15	96	85
29	95	85
27	74	93
38	96	85
33	91	79
13	97	72
7	83	96
22	90	80
25	79	97
20	88	90
37	71	99
