70	100	100	100
96	88	2
98	76	29
91	94	7
84	83	2
91	97	48
66	78	23
85	82	5
76	87	32
83	81	2
80	71	12
87	73	10
86	93	22
97	68	20
81	75	9
71	79	26
74	93	30
89	99	34
67	84	29
95	66	16
76	79	41
96	70	15
94	70	16
76	85	34
92	79	24
86	99	22
94	75	34
66	66	30
92	67	3
66	95	45
99	85	18
94	72	13
86	76	46
97	89	12
84	66	25
88	86	14
78	95	26
96	80	21
87	70	21
80	72	38
90	88	13
97	79	39
73	98	49
92	73	18
93	75	2
91	88	11
84	98	20
96	98	43
78	66	36
83	96	25
94	77	36
92	82	24
87	92	17
81	82	22
92	71	46
73	97	7
93	78	24
78	84	34
90	74	21
87	78	18
87	81	4
90	71	31
83	75	40
66	85	24
74	90	23
76	92	37
91	91	2
79	97	48
68	95	33
83	82	34
84	78	38
