90	100	100	100
7	2	2
4	8	2
3	9	5
2	7	3
5	6	4
7	3	7
3	4	6
6	8	6
1	2	9
2	4	1
5	4	2
6	3	8
6	6	4
7	4	3
2	8	4
4	3	2
2	8	2
2	1	2
5	1	5
9	5	7
4	5	8
6	2	3
1	1	8
6	7	1
1	3	6
4	8	3
5	6	7
2	4	2
3	8	8
7	2	7
4	3	2
5	5	1
8	1	2
5	8	4
1	5	6
8	8	3
7	9	1
4	1	4
4	1	6
5	5	7
9	6	2
6	8	1
6	5	3
2	8	2
6	3	1
6	2	9
9	6	5
7	8	6
5	5	1
3	5	1
3	8	8
6	2	7
4	6	8
4	2	5
8	6	9
8	8	6
1	6	1
5	9	3
8	2	4
8	7	8
1	5	7
8	7	2
2	8	5
1	8	9
4	9	6
8	7	8
5	9	5
8	7	7
4	8	4
9	7	8
4	2	8
5	6	5
5	8	4
8	3	5
6	6	3
5	4	5
6	5	8
5	1	5
7	3	8
2	9	4
3	9	5
5	6	9
4	7	9
7	2	5
3	3	6
6	9	2
8	7	1
2	7	5
4	1	3
1	5	7
